Name,Price,Cuisine Category,City,Region,Cuisine Types,Rating Types,Rating
Jab We Meet,500,"North Indian,Mughlai",Agra,Civil Lines,Quick Bites,Good,3.6
Chai Ka Adda,100,Tea,Agra,Sikandra,Beverage Shop,Good,3.7
Kushwah Lassi Corner,100,Beverages,Agra,Shahganj,Beverage Shop,Average,3.4
Agra Bana,800,"North Indian,Chinese,Continental,South Indian",Agra,Kuberpur,Casual Dining,Good,3.5
24*7 Hunger Solutions,200,"North Indian,Chinese,Continental",Agra,Agra Cantt,Others,Good,3.5
Neelam Restaurant,400,North Indian,Agra,Dayal Bagh,Casual Dining,Average,3.4
Ripples - Mansingh Palace,1500,"North Indian,Continental",Agra,Mansingh Palace-- Tajganj,Fine Dining,Very Good,4.1
Sheesh Mahal - Mansingh Palace,1800,"North Indian,Chinese,Continental",Agra,Mansingh Palace-- Tajganj,Fine Dining,Good,3.6
Anil Gajak Palace,300,Mithai,Agra,Civil Lines,Sweet Shop,Good,3.8
Kesar Restaurant,1200,"North Indian,Chinese,Continental",Agra,Tajganj,Casual Dining,Average,3.3
FNP Cakes ‘n’ More,200,"Bakery,Desserts",Agra,Rakabganj,Bakery,Good,3.5
Healthy & Tasty Food,300,Fast Food,Agra,Shahganj,Quick Bites,Good,3.5
Kings Pizza And Burger,200,"Pizza,Burger",Agra,Rakabganj,Quick Bites,Good,3.5
Bob Marley Restaurant,600,North Indian,Agra,Tajganj,Casual Dining,Average,3.2
Crazy Burger,100,Burger,Agra,Sikandra,Quick Bites,Good,3.6
Shri Dauji Sweets,200,"Mithai,Street Food",Agra,Shahganj,Sweet Shop,Average,3.0
Om Restaurant,250,North Indian,Agra,Civil Lines,Quick Bites,Good,3.7
Bhaagya Shree Studio & Bakers,250,Bakery,Agra,Kamla Nagar,Bakery,Good,3.6
Brijwasi Bhojnalaya,200,North Indian,Agra,Rakabganj,Bhojanalya,Average,3.4
Food & Fight,200,Fast Food,Agra,Sikandra,Quick Bites,Good,3.5
Jenith Fast Food,300,"North Indian,South Indian,Continental",Agra,Mantola,Quick Bites,Average,3.4
Chef Signature,900,"Fast Food,Continental,Indian",Agra,Tajganj,Quick Bites,Average,3.0
Food Treasure,200,"Bakery,Fast Food",Agra,Sikandra,Bakery,Good,3.5
Iccha Veg Biryani,100,Biryani,Agra,Sikandra,Kiosk,Good,3.5
The Park Restaurant,1000,"North Indian,Chinese,Continental,Mughlai",Agra,Agra Cantt,Casual Dining,Good,3.6
Agarsen Sweet,600,"Mithai,Fast Food",Agra,Sikandra,Sweet Shop,Average,3.4
Chhabra Bakers and Confectioners,200,"Bakery,Fast Food",Agra,Shahganj,Confectionery,Average,3.2
Laxman Momo's Corner,100,Momos,Agra,Tajganj,Quick Bites,Good,3.5
Pracheen Petha,200,Desserts,Agra,Civil Lines,Sweet Shop,Good,3.5
Bansal Sweets,100,"Mithai,Street Food",Agra,Shahganj,Sweet Shop,Average,2.7
AFC Kitchen,300,Fast Food,Agra,Tajganj,Quick Bites,Average,3.3
The Crispy Treat,150,Fast Food,Agra,Sikandra,Quick Bites,Average,3.3
Pranjal Food Court,300,Fast Food,Agra,Sikandra,Quick Bites,Average,3.0
Goli Vada Paav No.1,100,Street Food,Agra,Shahganj,Quick Bites,Average,3.2
Giani,300,"Beverages,Desserts,Ice Cream",Agra,Civil Lines,Dessert Parlor,Average,2.5
Laxman Momo's Corner,100,Street Food,Agra,Agra Cantt,Quick Bites,Good,3.8
Shagun Cafe,100,"Bakery,Cafe",Agra,Khandari,Quick Bites,Average,3.4
Cake & More,500,Bakery,Agra,Kamla Nagar,Quick Bites,Average,3.0
Panchhi Petha Store,400,Mithai,Agra,Mantola,Sweet Shop,Average,3.4
Mor Mukut Misthan Bhandar,400,"Mithai,Desserts,Street Food",Agra,Kamla Nagar,Sweet Shop,Average,3.3
Garg Dairy,200,"Bakery,Fast Food",Agra,Kamla Nagar,Bakery,Average,3.3
Fauzi Dhaba,650,"North Indian,Chinese,Continental",Agra,Tajganj,Casual Dining,Average,3.0
Hungernomia,300,"Wraps,Sandwich,Burger,Fast Food",Agra,Civil Lines,Quick Bites,Average,3.3
Jugalbandi,250,"North Indian,Chinese",Agra,Sikandra,Quick Bites,Average,3.4
Maya Restaurant,900,"North Indian,Chinese,Continental",Agra,Tajganj,Casual Dining,Average,2.7
Little N Chef,200,"Chinese,Fast Food",Agra,Shahganj,Quick Bites,Good,3.5
Little Maggi Point,150,Fast Food,Agra,Kamla Nagar,Quick Bites,Average,3.2
Cafe Coffee Day,500,"Cafe,Fast Food",Agra,Civil Lines,Cafe,Good,3.9
Swad Restaurant,500,North Indian,Agra,Agra Cantt,Casual Dining,Good,3.5
Yes Restaurant,300,"North Indian,South Indian",Agra,Tajganj,Others,Average,3.4
Hunger Target,200,Chinese,Agra,Agra Cantt,Quick Bites,Average,3.4
Hiralal Misthan Bhandar,250,Mithai,Agra,Civil Lines,Sweet Shop,Average,3.2
Biryaniwala,200,Biryani,Agra,Mantola,Others,Average,3.4
Chinu Bakers,150,Fast Food,Agra,Kamla Nagar,Others,Good,3.5
Thor The Party World,500,"North Indian,Chinese,Italian",Agra,Tajganj,Lounge,Very Good,4.0
Jai Jhulelal Patties Corner,100,Fast Food,Agra,Shahganj,Quick Bites,Good,3.6
Shubham Restaurant,500,"North Indian,Chinese,South Indian,Fast Food",Agra,Arjun Nagar,Casual Dining,Average,2.8
Pizza Pasta Corner,250,Pizza,Agra,Shahganj,Quick Bites,Average,3.3
Brownee,100,Fast Food,Agra,Kamla Nagar,Quick Bites,Average,3.3
Vaishno Bhalla House,200,Fast Food,Agra,Rakabganj,Quick Bites,Average,3.4
