Name,Price,Cuisine Category,City,Region,Cuisine Types,Rating Types,Rating
Shri Parasnath Misthan Bhandar,300,"Mithai,Street Food",Agra,Mantola,Sweet Shop,Good,3.5
Shri Raj Bhojnalya,200,North Indian,Agra,Civil Lines,Bhojanalya,Average,3.3
Anna Purna Canteen,250,North Indian,Agra,Civil Lines,Quick Bites,Average,3.4
Pracheen Petha,100,"Desserts,Mithai",Agra,Mantola,Sweet Shop,Good,3.5
Radha Swami Chinese Fast Food,100,"North Indian,Chinese,Street Food",Agra,Tajganj,Quick Bites,Average,3.4
Lucky's Cafe,400,"Fast Food,Cafe,North Indian",Agra,Tajganj,Cafe,Good,3.8
Amrut Restaurant,300,North Indian,Agra,Dayal Bagh,Quick Bites,Average,3.4
Gun - Gun Confectionery,100,Fast Food,Agra,Shahganj,Others,Average,3.4
Brijwasi Sweet House,400,"Mithai,Desserts",Agra,Dayal Bagh,Sweet Shop,Good,3.5
Gupta Sweets,400,Mithai,Agra,Kamla Nagar,Sweet Shop,Good,3.5
Shiva Bhojhnalaya,200,North Indian,Agra,Sikandra,Quick Bites,Average,3.4
Gori Shankar Fruit &  Punchshake Corner,100,Beverages,Agra,Sikandra,Beverage Shop,Good,3.6
Krishna Namkeen and Sweet,200,Mithai,Agra,Shahganj,Sweet Shop,Good,3.5
Hiralal Food Corner,250,Fast Food,Agra,Civil Lines,Quick Bites,Average,3.4
VR Food Zone,250,Indian,Agra,Dayal Bagh,Quick Bites,Average,3.4
laxman Fast Food,200,Fast Food,Agra,Civil Lines,Quick Bites,Average,3.4
Chocolate Cafe,311,Bakery,Agra,Kamla Nagar,Others,Average,3.4
Jodha Restaurant,800,North Indian,Agra,Sikandra,Casual Dining,Good,3.5
Golden Grilled,400,Mughlai,Agra,Khandari,Quick Bites,Average,3.4
Apna Bhojnalaya,150,North Indian,Agra,Shahganj,Quick Bites,Average,3.4
Mama  Bhojnalya,600,"Healthy Food,North Indian,Fast Food",Agra,Kamla Nagar,Quick Bites,Average,3.4
Moolchand Grocery And Bakery,200,Bakery,Agra,Sikandra,Bakery,Average,3.4
Rajput Bakers,200,Bakery,Agra,Kuberpur,Bakery,Average,3.4
Grace Rooftop Restaurant,200,North Indian,Agra,Tajganj,Quick Bites,Average,3.4
Hotel Taj Heights,700,"North Indian,Chinese,Mughlai",Agra,Tajganj,Casual Dining,Good,3.5
Krishna Namkeen and Sweets,200,Mithai,Agra,Shahganj,Sweet Shop,Good,3.5
Harbour Delight - Hotel Light House,700,"North Indian,Chinese",Agra,Tajganj,Casual Dining,Good,3.5
Rudra Fast Food,100,North Indian,Agra,Shahganj,Quick Bites,Average,3.4
Pandit Ji Fast Food,200,Fast Food,Agra,Shahganj,Quick Bites,Average,3.4
Mama Cake House,150,Bakery,Agra,Kamla Nagar,Quick Bites,Average,3.4
Gaurav Bakers,150,"Bakery,Fast Food",Agra,Sikandra,Bakery,Average,3.4
China Town,200,"Fast Food,Burger",Agra,Shahganj,Others,Average,3.4
Blue Bird Bakers,250,Bakery,Agra,Kamla Nagar,Bakery,Average,3.4
Radhey govind bakery,250,"Bakery,Fast Food",Agra,Shahganj,Bakery,Average,3.4
Hotel Atithi,600,"North Indian,Chinese,Continental",Agra,Tajganj,Casual Dining,Good,3.5
All About chocolat,500,Desserts,Agra,Khandari,Others,Average,3.4
Sri Sainath Food Service,250,North Indian,Agra,Khandari,Quick Bites,Average,3.4
Radhika Sweet Corner,300,Mithai,Agra,Sikandra,Sweet Shop,Good,3.5
Swaggy Cafe,100,North Indian,Agra,Tajganj,Quick Bites,Average,3.4
Prem Confectionery,100,Fast Food,Agra,Shahganj,Confectionery,Average,3.4
Rahul Bakers,200,"Fast Food,Bakery",Agra,Shahganj,Bakery,Average,3.4
Youngistan Cafe,400,Cafe,Agra,Civil Lines,Cafe,Good,3.8
Agra Coffee House,150,"Coffee,Fast Food",Agra,Civil Lines,Quick Bites,Average,3.4
Shree Jee Sweets And Dairy,200,Mithai,Agra,Shahganj,Dessert Parlor,Good,3.6
Abhishek Restaurant,200,North Indian,Agra,Tajganj,Quick Bites,Average,3.4
Bullet Adda,500,"Cafe,Continental,Italian",Agra,Sikandra,Cafe,Very Good,4.1
Aromatic Nosh,700,Fast Food,Agra,Kamla Nagar,Quick Bites,Very Good,4.1
MKOP,200,"Bakery,Fast Food",Agra,Civil Lines,Dessert Parlor,Very Good,4.4
Pari Family Restaurant,400,"North Indian,Fast Food,South Indian",Agra,Sikandra,Quick Bites,Good,3.8
Social Attitude,600,"Cafe,Chinese,Finger Food,North Indian",Agra,Shahganj,Cafe,Good,3.8
Bercos,1000,"Chinese,Thai",Agra,Civil Lines,Casual Dining,Very Good,4.1
Ram Babu Parathe Wale,700,Fast Food,Agra,Sikandra,Quick Bites,Average,3.1
Anant Restaurant,350,South Indian,Agra,Kamla Nagar,Casual Dining,Very Good,4.1
The Momo Corner,200,"Chinese,Momos,Wraps,Burger",Agra,Kamla Nagar,Quick Bites,Very Good,4.2
Grey House Cafe,1500,Cafe,Agra,Tajganj,Cafe,Very Good,4.1
Dasaprakash Restaurant,550,"South Indian,Desserts",Agra,Rakabganj,Casual Dining,Very Good,4.1
KFC,500,"Burger,Fast Food",Agra,Tajganj,Quick Bites,Very Good,4.0
Capri Restaurant,850,"North Indian,Mughlai",Agra,Civil Lines,Casual Dining,Good,3.5
Campus Bakers,300,"Fast Food,Bakery",Agra,Sikandra,Quick Bites,Very Good,4.1
The Rollings,700,"North Indian,Chinese,Continental",Agra,Khandari,Lounge,Good,3.9
Agarwal Sweet House,250,"Mithai,Fast Food",Agra,Kamla Nagar,Sweet Shop,Good,3.5
Jag Prem Restaurant,400,North Indian,Agra,Tajganj,Casual Dining,Good,3.5
Mama Mutton Chicken Bhandhar,200,"Hyderabadi,Lucknowi,North Indian,Roast Chicken",Agra,Sikandra,Bhojanalya,Average,3.3
Mor Mukut Misthan Bhandar,150,Mithai,Agra,Civil Lines,Sweet Shop,Good,3.5
Raj Milk Product And Sweets,350,"Bakery,Chinese",Agra,Tajganj,Bakery,Average,3.4
RS Eating Hub,200,"Bakery,Fast Food",Agra,Mantola,Bakery,Average,3.4
Dayaram Sweets & Namkeen,100,"Mithai,Street Food",Agra,Mantola,Others,Average,3.4
Al - Kareem restaurant,200,Afghan,Agra,Shahganj,Casual Dining,Good,3.5
Friend's Adda,150,"North Indian,South Indian,Chinese",Agra,Dayal Bagh,Quick Bites,Average,3.4
Goswami Restaurant,200,North Indian,Agra,Sikandra,Quick Bites,Average,3.4
Ghatu Shyam Ji Sweets,100,Mithai,Agra,Civil Lines,Sweet Shop,Good,3.5
Mom's Food,200,North Indian,Agra,Kamla Nagar,Others,Average,3.4
House Of Cuisine,400,Fast Food,Agra,Civil Lines,Quick Bites,Average,3.4
Ganpati Bakers,150,"Mithai,Fast Food",Agra,Shahganj,Quick Bites,Average,3.4
Punjabi Paratha,100,North Indian,Agra,Tajganj,Casual Dining,Good,3.5
Pikipuu Agra,350,"Desserts,Bakery",Agra,Tajganj,Dessert Parlor,Good,3.6
quality paratha,330,North Eastern,Agra,Agra Cantt,Others,Average,3.4
Pandit-Nirmit,301,"North Indian,South Indian,Chinese",Agra,Sikandra,Quick Bites,Average,3.4
Bread Roll HQ,250,Fast Food,Agra,Mantola,Quick Bites,Average,3.4
Sardari Chicken,300,"North Indian,Chinese",Agra,Sikandra,Others,Average,3.4
Gopaldas Pethe Wale,290,Desserts,Agra,Mantola,Sweet Shop,Good,3.5
Giani Ice Cream,200,Ice Cream,Agra,Agra Cantt,Dessert Parlor,Very Good,4.1
Ultimate Pizza,400,Fast Food,Agra,Arjun Nagar,Quick Bites,Good,3.7
Marleys  The Milkshake,350,Beverages,Agra,Tajganj,Beverage Shop,Good,3.7
Culinary Junction By Udupi,800,"North Indian,South Indian,European,Chinese,Italian",Agra,Tajganj,Casual Dining,Very Good,4.3
Punjabi Swag,350,North Indian,Agra,Dayal Bagh,Quick Bites,Good,3.8
Hari Chatni Restaurant,650,"North Indian,Chinese",Agra,Civil Lines,Casual Dining,Good,3.7
Pandit Bhojhnalaya,200,North Indian,Agra,Sikandra,Bhojanalya,Good,3.5
Bhole Kona Grill,450,"North Indian,Fast Food",Agra,Shahganj,Quick Bites,Good,3.5
Indian Chicken Express,700,"Mughlai,North Indian",Agra,Shahganj,Quick Bites,Good,3.8
Lovely Restaurant,400,North Indian,Agra,Tajganj,Quick Bites,Good,3.5
The Greens Restaurant & Herbal Cafe,500,"North Indian,South Indian,Chinese,Continental",Agra,Rakabganj,Casual Dining,Good,3.9
Club Rush,1100,"North Indian,Chinese,Continental",Agra,Tajganj,Lounge,Good,3.8
Blue Coriander,800,"North Indian,Continental,Cafe",Agra,Civil Lines,Casual Dining,Good,3.9
Mama's Vegetarian Food Corner,200,"Fast Food,South Indian",Agra,Agra Cantt,Quick Bites,Good,3.6
Shere Punjab Restaurant,500,"North Indian,South Indian,Continental",Agra,Kamla Nagar,Casual Dining,Good,3.8
Sri Dauji's Chatpataa,500,"North Indian,South Indian",Agra,Kamla Nagar,Casual Dining,Good,3.8
Ashoka Bar,1000,North Indian,Agra,Civil Lines,Bar,Good,3.7
Spice Kitchen - The Sizzling Multi-Cuisine Restaurant,600,"North Indian,South Indian,Chinese",Agra,Rakabganj,Casual Dining,Good,3.5
Shri Thakur Ji Bhojanalaya,150,North Indian,Agra,Civil Lines,Casual Dining,Good,3.9
Mercury Cafe,250,Beverages,Agra,Tajganj,Quick Bites,Good,3.6
Chhabra's Chicken Corner,300,"North Indian,Biryani,Chinese,Rolls",Agra,Shahganj,Quick Bites,Good,3.7
Satkar Pastries,500,"Fast Food,Desserts",Agra,Kamla Nagar,Quick Bites,Good,3.7
Labbaik Chicken Corner,600,Biryani,Agra,Mantola,Casual Dining,Good,3.7
Roadies,550,Mughlai,Agra,Sikandra,Quick Bites,Good,3.5
The London Bakery,500,Bakery,Agra,Kamla Nagar,Bakery,Good,3.9
Cafe Godfather,500,"North Indian,Chinese,Italian,Continental",Agra,Tajganj,Cafe,Good,3.7
Indian By Nature,1200,North Indian,Agra,Civil Lines,Casual Dining,Average,2.5
Pankhuri Restaurant,1000,"North Indian,Chinese,Continental,South Indian",Agra,Rakabganj,Casual Dining,Good,3.9
Karims,1200,"Mughlai,Kebab",Agra,Tajganj,Quick Bites,Good,3.8
Vaishno Bakery,300,"Fast Food,Bakery",Agra,Lohamandi,Quick Bites,Good,3.5
Gobhi.com,250,"North Indian,Chinese",Agra,Arjun Nagar,Quick Bites,Good,3.8
Aleem,500,"Biryani,Mughlai,Kebab",Agra,Tajganj,Quick Bites,Good,3.8
WOS Cafe - World of Spices,800,"North Indian,Chinese",Agra,Tajganj,Casual Dining,Good,3.9
Hungrill Cafe & Restaurant,200,Fast Food,Agra,Sikandra,Quick Bites,Good,3.6
Shri Dharamraj Yadav Dhaba,200,North Indian,Agra,Civil Lines,Dhaba,Good,3.6
Hotel Solitaire,600,"North Indian,South Indian,Chinese",Agra,Civil Lines,Casual Dining,Good,3.7
Om Restaurant,400,"North Indian,South Indian",Agra,Agra Cantt,Quick Bites,Good,3.6
Spicy Spoon,550,"South Indian,Chinese,North Indian",Agra,Kamla Nagar,Casual Dining,Good,3.6
Pushpak Misthan Bhandar and Sweet,200,"Mithai,Fast Food",Agra,Mantola,Sweet Shop,Good,3.8
Hotel Amar - Noorjahan Restaurant,900,"North Indian,Chinese,Continental,South Indian",Agra,Hotel Amar-- Tajganj,Casual Dining,Good,3.7
Gupta Ji Dhaba & Veg Briyani,150,North Indian,Agra,Sikandra,Dhaba,Good,3.7
Green Veg Thali,300,North Indian,Agra,Tajganj,Quick Bites,Average,2.9
Dilli Darbar,300,North Indian,Agra,Civil Lines,Quick Bites,Good,3.6
Mama Franky House,200,Fast Food,Agra,Shahganj,Kiosk,Average,3.4
Agra Zayka Family Restaurant,400,"North Indian,Chinese,Continental",Agra,Kamla Nagar,Casual Dining,Average,3.2
Kings,600,"Bakery,Continental",Agra,Kamla Nagar,Quick Bites,Good,3.6
Sanjay Bakers & Confectioner,300,"Bakery,Desserts",Agra,Kamla Nagar,Bakery,Good,3.6
Pandit Bhojnalaya,200,North Indian,Agra,Sikandra,Bhojanalya,Average,3.1
Dreams Bakers Paradise,200,Bakery,Agra,Civil Lines,Bakery,Good,3.6
Glassy,1500,"Cafe,Chinese,Continental,Indian",Agra,Tajganj,Cafe,Good,3.7
Baba Chicken Mutton,300,"Mughlai,Afghan",Agra,Sikandra,Quick Bites,Average,3.3
Hunger Point Cafe and Bakers,400,"Cafe,Chinese,Continental",Agra,Tajganj,Quick Bites,Average,2.8
Masterchef,400,"Italian,North Indian",Agra,Sikandra,Quick Bites,Good,3.5
Hunger Bites,200,"South Indian,Momos,Chinese",Agra,Khandari,Quick Bites,Average,3.4
Cafe De Fusion,250,Cafe,Agra,Agra Cantt,Cafe,Good,3.9
Balaji Dosa Factory,250,"South Indian,Street Food",Agra,Khandari,Food Truck,Average,3.3
Sizzling Lounge,300,Fast Food,Agra,Khandari,Quick Bites,Average,3.0
Selfie Restaurant,400,North Indian,Agra,Lohamandi,Quick Bites,Good,3.5
Bhagat Food Court,500,"Chinese,Street Food",Agra,Civil Lines,Quick Bites,Good,3.5
Ohh..foodies,300,"American,Beverages,Biryani,Continental,Indian,North Indian,Pizza",Agra,Mantola,Quick Bites,Good,3.5
European Bakery,300,"Bakery,Desserts,Fast Food",Agra,Civil Lines,Bakery,Good,3.5
Cafe Chilam,750,"Cafe,Fast Food,Chinese",Agra,Tajganj,Cafe,Good,3.5
Chatpati Rasoi,350,North Indian,Agra,Tajganj,Dhaba,Good,3.5
Ravi Patties & Mocktail Point,100,Street Food,Agra,Shahganj,Quick Bites,Good,3.8
Mama Momos,400,"Fast Food,Momos",Agra,Agra Cantt,Quick Bites,Good,3.5
Munchies,500,"Chinese,Fast Food",Agra,Agra Cantt,Quick Bites,Good,3.6
Rasam,500,North Indian,Agra,Tajganj,Casual Dining,Good,3.6
DR Food Plaza,200,North Indian,Agra,Kamla Nagar,Quick Bites,Good,3.7
Kings Spoon,500,"North Indian,Chinese,Continental",Agra,Sikandra,Casual Dining,Average,3.4
Shyam Ji Restaurant,300,North Indian,Agra,Agra Cantt,Quick Bites,Good,3.8
Bhagwati Dhaba & Thali,200,North Indian,Agra,Kamla Nagar,Quick Bites,Average,3.3
V & S Maggie Point,150,"Fast Food,Italian",Agra,Shahganj,Quick Bites,Good,3.7
C-9 Restaurant,700,"Chinese,Continental,Desserts,North Indian,Pizza,Rolls,Sandwich,South Indian",Agra,Civil Lines,Quick Bites,Good,3.5
Tunda Kababi,500,"North Indian,Mughlai",Agra,Civil Lines,Casual Dining,Average,3.0
Flavours Restaurant,850,"North Indian,Chinese,Fast Food,South Indian",Agra,Civil Lines,Casual Dining,Good,3.9
Sri Dauji Restaurant,100,Desserts,Agra,Kamla Nagar,Dessert Parlor,Average,3.3
Labbaik Chicken Corner,600,"Mughlai,North Indian",Agra,Civil Lines,Quick Bites,Good,3.5
Saket Restaurant,750,"North Indian,Chinese,South Indian",Agra,Khandari,Casual Dining,Average,3.1
Level 4,700,Continental,Agra,Tajganj,Quick Bites,Average,3.4
Chef On Wheels,200,"Chinese,Continental,North Indian",Agra,Tajganj,Quick Bites,Average,3.3
Prem Bhalla Restaurant,650,"North Indian,Chinese,Fast Food",Agra,Arjun Nagar,Casual Dining,Good,3.6
Nandani Red Crystal Restaurant,250,"South Indian,Pizza,Chinese,Desserts",Agra,Sikandra,Quick Bites,Average,3.3
The Master Chef Restaurant,400,"Fast Food,Italian,Chinese",Agra,Agra Cantt,Quick Bites,Average,3.4
Bhagwan Corner Cakes And Pastries,200,Bakery,Agra,Mantola,Bakery,Average,3.3
The Tounge,400,"North Indian,South Indian,Chinese",Agra,Kamla Nagar,Casual Dining,Good,3.6
Panchratan Restaurant,900,"North Indian,South Indian",Agra,Civil Lines,Casual Dining,Good,3.6
Shri Ambika Restaurant,850,"North Indian,South Indian,Chinese",Agra,Kamla Nagar,Casual Dining,Good,3.6
Punjabi Hut,400,"Indian,North Indian",Agra,Shahganj,Quick Bites,Average,2.8
Sauma,1400,"Chinese,North Indian",Agra,Tajganj,Casual Dining,Good,3.8
Dhaba Dictionary,200,North Indian,Agra,Tajganj,Quick Bites,Average,3.1
Twisters,500,"Chinese,Fast Food,Mughlai,North Indian,Rolls",Agra,Civil Lines,Quick Bites,Good,3.7
Faluda Corner,200,Ice Cream,Agra,Agra Cantt,Dessert Parlor,Average,3.3
Zam Zam Chicken Corner,300,Fast Food,Agra,Sikandra,Quick Bites,Average,3.4
Punjabi Grill,700,"Mughlai,North Indian",Agra,Tajganj,Quick Bites,Good,3.6
Goldy Cool Cafe & Bakers,300,"Bakery,Fast Food",Agra,Kamla Nagar,Quick Bites,Average,3.4
Ambience Restaurant,800,"North Indian,Continental",Agra,Kamla Nagar,Casual Dining,Average,3.4
Foyer Restaurant and Cafe,800,Cafe,Agra,Tajganj,Quick Bites,Average,2.9
G Chakna- G Hotel,1000,"Chinese,Continental,North Indian",Agra,Kamla Nagar,Casual Dining,Good,3.6
Thakur Ji Thaliwala,200,Indian,Agra,Kamla Nagar,Quick Bites,Average,3.4
Dasaprakash Restaurant,650,South Indian,Agra,Tajganj,Casual Dining,Good,3.8
Jain Bhojnalya,300,North Indian,Agra,Sikandra,Bhojanalya,Good,3.5
Shivam Restaurant,200,"Fast Food,Desserts",Agra,Agra Cantt,Quick Bites,Average,2.8
Food Stock Xchange,500,"North Indian,Chinese,Fast Food",Agra,Tajganj,Quick Bites,Good,3.6
The Culture Of Spices- Kitchen & Lounge,900,"North Indian,Continental",Agra,Sikandra,Casual Dining,Average,3.1
Falahar,150,"Fast Food,Street Food",Agra,Khandari,Others,Average,3.4
Waffled,200,Desserts,Agra,Tajganj,Dessert Parlor,Average,3.4
Login Restaurant & Rooftop Cafe,400,"North Indian,Chinese,Continental",Agra,Tajganj,Casual Dining,Average,3.4
The Silk Route Restaurant,1000,"North Indian,Chinese,Continental",Agra,Tajganj,Casual Dining,Average,3.4
Safarnama Cafe,400,"Cafe,North Indian",Agra,Tajganj,Cafe,Good,3.8
Jawahar Bhojnalay,400,North Indian,Agra,Dayal Bagh,Dhaba,Good,3.6
Abhishek Dhaba,350,North Indian,Agra,Tajganj,Dhaba,Average,3.2
Khanaa Khazanaa,400,"North Indian,Continental,Fast Food",Agra,Dayal Bagh,Quick Bites,Average,3.4
Navratan Fast Food & Restaurant,500,"North Indian,South Indian,Fast Food",Agra,Dayal Bagh,Quick Bites,Good,3.6
Lal Tadka Restaurant,500,North Indian,Agra,Lohamandi,Casual Dining,Average,3.3
The Chef's Club,600,"North Indian,Chinese",Agra,Tajganj,Casual Dining,Good,3.5
Anjali Restaurant,500,"North Indian,Chinese,Continental,South Indian",Agra,Shahganj,Quick Bites,Average,3.1
Eating Meeting Restaurant,600,"North Indian,Chinese,Continental",Agra,Tajganj,Casual Dining,Poor,2.3
Merry Go Round,1250,"North Indian,Chinese,Continental",Agra,Hotel Pushp Villa-- Tajganj,Casual Dining,Average,2.7
Shake Adda,250,Beverages,Agra,Kamla Nagar,Quick Bites,Good,3.6
Hotel Bengal Lodge Bar & Restaurant,650,Finger Food,Agra,Rakabganj,Bar,Average,3.3
Lazeez Restaurant,600,North Indian,Agra,Tajganj,Casual Dining,Average,3.2
Mulla Ji Briyani Restaurant,200,Biryani,Agra,Sikandra,Others,Average,3.4
Hotel Poonam Plaza,700,"North Indian,Chinese",Agra,Dayal Bagh,Casual Dining,Good,3.5
Goverdhan Bakery,300,"Bakery,Fast Food",Agra,Shahganj,Bakery,Good,3.7
Vishal Dhaba,150,North Indian,Agra,Tajganj,Dhaba,Average,3.4
Orange Restaurant,1500,"Chinese,Continental,Fast Food,Finger Food,North Indian",Agra,Rakabganj,Casual Dining,Good,3.6
Gyani Dhaba,150,North Indian,Agra,Dayal Bagh,Dhaba,Good,3.6
Panchhi Petha Bhandar,200,Mithai,Agra,Sikandra,Sweet Shop,Good,3.5
Family Zaika,1000,"North Indian,South Indian",Agra,Sikandra,Casual Dining,Average,3.1
What The Food,400,Fast Food,Agra,Civil Lines,Quick Bites,Good,3.8
Atlantic Foods,400,"Bakery,Desserts,Sandwich,Burger,Pizza,Fast Food",Agra,Civil Lines,Dessert Parlor,Very Good,4.0
The Masterchef Restaurant,600,"Cafe,Italian",Agra,Kamla Nagar,Cafe,Good,3.9
Udupi Brindavan,600,"South Indian,North Indian,Chinese",Agra,Khandari,Casual Dining,Very Good,4.1
Agra Chat House,150,Street Food,Agra,Agra Cantt,Quick Bites,Very Good,4.2
Dosa Plaza,300,"South Indian,North Indian,Chinese",Agra,Khandari,Quick Bites,Good,3.7
The Chocolate Room,400,"Desserts,Mexican,Italian,Fast Food",Agra,Tajganj,Dessert Parlor,Very Good,4.3
CHHAT - Over The Top,800,"North Indian,Chinese,Lebanese,Continental,Mediterranean,Mexican",Agra,Tajganj,Quick Bites,Very Good,4.0
Jux Pux,300,"Beverages,Juices,Fast Food",Agra,Agra Cantt,Beverage Shop,Very Good,4.1
Achman Cafe,700,"Cafe,Fast Food",Agra,Civil Lines,Cafe,Very Good,4.1
The Greener Side,300,Fast Food,Agra,Civil Lines,Quick Bites,Very Good,4.4
Sardarji Da Dhaba,400,North Indian,Agra,Agra Cantt,Casual Dining,Good,3.8
Chopstix,600,Chinese,Agra,Civil Lines,Quick Bites,Good,3.8
Cafe Kulhad,400,Fast Food,Agra,Civil Lines,Quick Bites,Very Good,4.0
Fruck,400,Street Food,Agra,Khandari,Food Truck,Very Good,4.0
Bhai bhai,200,"Chinese,North Indian",Agra,Civil Lines,Quick Bites,Average,3.3
Janta Khana Khazana,300,"Fast Food,Bakery",Agra,Shahganj,Quick Bites,Good,3.5
Crush Cafe,400,"Chinese,Desserts,Fast Food,Sandwich",Agra,Agra Cantt,Cafe,Average,2.6
Tandoori Hut,400,North Indian,Agra,Tajganj,Quick Bites,Average,3.2
The Taste of Taj City,500,"North Indian,Chinese",Agra,Sikandra,Casual Dining,Average,2.9
Foodnary,300,"North Indian,South Indian,Chinese",Agra,Shahganj,Quick Bites,Average,3.3
Om Sai Food Court,200,Fast Food,Agra,Dayal Bagh,Quick Bites,Good,3.5
Spice Treat Dhaba,350,"North Indian,Chinese",Agra,Tajganj,Quick Bites,Poor,2.4
Ohh.. Biryani,400,Biryani,Agra,Tajganj,Quick Bites,Average,3.3
Shree Ganesh South Indian Restaurant,200,South Indian,Agra,Sikandra,Quick Bites,Good,3.6
Dosa Kitchen,250,South Indian,Agra,Sikandra,Food Truck,Good,3.5
Chinese Dhaba,150,Chinese,Agra,Sikandra,Food Truck,Average,3.0
Chawla's Chic-Inn,400,"Mughlai,North Indian",Agra,Civil Lines,Quick Bites,Good,3.6
Tandoori Night,200,"North Indian,Fast Food",Agra,Sikandra,Quick Bites,Average,3.3
Punjabi Junction,600,"North Indian,Chinese",Agra,Sikandra,Casual Dining,Average,2.7
Chanchal Hotel,400,North Indian,Agra,Agra Cantt,Dhaba,Average,3.4
Chowpaty By Captain,200,"Fast Food,South Indian,Street Food",Agra,Sikandra,Quick Bites,Average,3.4
Pizza Delight Cafe,500,"Italian,Fast Food",Agra,Sikandra,Quick Bites,Good,3.5
Maan Singh Egg Corner,150,Street Food,Agra,Kamla Nagar,Quick Bites,Average,3.3
Tuk Tuk The Food Express,200,Fast Food,Agra,Agra Cantt,Quick Bites,Average,2.9
Maharaja Restaurant,800,"North Indian,Chinese,Continental",Agra,Tajganj,Casual Dining,Average,2.8
Maa Gayatri Bhojnalya,200,North Indian,Agra,Kamla Nagar,Quick Bites,Average,3.3
Pandit Ji Bhojhnalaya,150,North Indian,Agra,Sikandra,Bhojanalya,Good,3.6
Skyline Lounge & Rooftop,500,North Indian,Agra,Kamla Nagar,Casual Dining,Average,3.3
Agra Darbar,750,North Indian,Agra,Rakabganj,Casual Dining,Poor,2.4
Awadhi Foods,400,North Indian,Agra,Civil Lines,Quick Bites,Good,3.6
New Chinese King,300,"Chinese,Momos",Agra,Sikandra,Quick Bites,Average,2.8
Fry Cafe,250,"Cafe,Fast Food,Beverages",Agra,Kamla Nagar,Quick Bites,Average,2.8
Haveli Restaurant,1000,"North Indian,Chinese,Continental",Agra,Tajganj,Casual Dining,Poor,2.4
Dasaprakash Xpress,800,"North Indian,Chinese",Agra,Tajganj,Casual Dining,Average,2.8
Babu Non Veg Punjabi Tadka,200,North Indian,Agra,Kamla Nagar,Others,Average,3.3
Celebrations Foods,200,"Fast Food,Bakery",Agra,Sikandra,Quick Bites,Good,3.6
Happy Hours Restaurant,1000,"North Indian,South Indian,Chinese",Agra,Tajganj,Casual Dining,Average,3.3
Tikka Town Restaurant,300,"Chinese,North Indian",Agra,Civil Lines,Quick Bites,Average,3.3
Vrindavan Pan Bhandar,100,Paan,Agra,Kamla Nagar,Paan Shop,Good,3.5
Quality Restaurant,800,"North Indian,Chinese",Agra,Tajganj,Casual Dining,Poor,2.3
Dreams Bakers Paradise,250,"Fast Food,Bakery",Agra,Sikandra,Bakery,Average,2.9
Brijwasi Sweet House,200,Mithai,Agra,Lohamandi,Sweet Shop,Average,3.3
Panchhi Petha Dalmoth,200,Mithai,Agra,Khandari,Sweet Shop,Average,3.3
The Mughal Darbar,800,"North Indian,Chinese,Mughlai,Continental",Agra,Tajganj,Casual Dining,Average,3.3
Gobhi.Com Tiffin Centre,200,North Indian,Agra,Arjun Nagar,Quick Bites,Average,3.4
Vaishno Balaji Dhaba,200,North Indian,Agra,Agra Cantt,Dhaba,Average,2.8
Bindhadi Ki Rasoi,500,"Rajasthani,North Indian",Agra,Kamla Nagar,Quick Bites,Average,3.2
South Indian Corner,200,South Indian,Agra,Lohamandi,Quick Bites,Average,3.0
Seven Hills Rooftop Restaurant,1500,"North Indian,Chinese,Continental",Agra,Tajganj,Casual Dining,Average,3.4
Gramma Food Zone,200,South Indian,Agra,Arjun Nagar,Quick Bites,Average,3.3
Bhawna Palace Hotel,600,"North Indian,Chinese,South Indian",Agra,Khandari,Casual Dining,Average,3.4
Krishna Sweet House,200,"Mithai,Fast Food",Agra,Khandari,Sweet Shop,Average,3.3
Manoj Bhojnalay,250,North Indian,Agra,Agra Cantt,Dhaba,Average,3.0
Agra Petha And Dalmoth,200,Mithai,Agra,Tajganj,Sweet Shop,Good,3.5
Paris Bakery,350,"Bakery,Desserts",Agra,Sikandra,Bakery,Average,3.1
Bushra KFB,200,North Indian,Agra,Khandari,Quick Bites,Average,3.1
Raj Darbar Restaurant,750,North Indian,Agra,Rakabganj,Casual Dining,Average,2.6
Sandeep Egg Centre,150,Street Food,Agra,Sikandra,Quick Bites,Good,3.5
Spicy Tongue,700,"North Indian,Chinese",Agra,Sikandra,Casual Dining,Average,3.0
Salt - Pepper Restaurant,1100,"North Indian,Chinese,Continental",Agra,Hotel Royale Residency-- Tajganj,Casual Dining,Average,3.4
Patyali Tadka,500,"North Indian,Rolls",Agra,Kamla Nagar,Quick Bites,Average,3.0
Brother Cafe,300,Chinese,Agra,Sikandra,Quick Bites,Average,3.4
Beloved Bakers,300,Bakery,Agra,Khandari,Bakery,Average,3.3
Zam Zam Chicken Corner,150,North Indian,Agra,Tajganj,Quick Bites,Average,3.1
Jordan Restaurant,400,North Indian,Agra,Tajganj,Casual Dining,Average,3.2
Kumaun Dhaba,400,North Indian,Agra,Tajganj,Dhaba,Good,3.5
Meals On Wheels,200,"Fast Food,North Indian,Chinese",Agra,Tajganj,Quick Bites,Average,3.1
Chinese Food Plaza,100,"Chinese,Fast Food",Agra,Shahganj,Quick Bites,Average,3.4
U & Me Cafe Family Restaurant,400,"North Indian,Chinese,Continental",Agra,Tajganj,Casual Dining,Average,2.9
